MLS#,Type,Prop. Cat.,Prop. Cond.,Tax,Address,City,Zip,Area,BD,Baths,# Levels,Apx Sqft,Price SqFt,Sld Price Sqft,Lot Size,Pend. Date,DOM,CDOM,List Date,List Price,Sold Date,Price,Yr. Built,HOA Dues,# Garage,# Fireplaces,Terms
23259127,ATTACHD,RES,UNDRCON,0,8041 SE Kinnaman ST #941,Hillsboro,97123,152,2,2.1,2,1376,308,308,"0-2,999SF",1/26/2024,268,268,5/3/2023,"$424,990 ",2/29/2024,"$424,990 ",2023,270,1,,"CASH, CONV, FHA, VA"
24121281,ATTACHD,RES,NEW,0,8385 SE Kinnaman ST #1140,Hillsboro,97123,152,3,2.1,2,1318,322,322,"0-2,999SF",1/6/2025,219,219,6/1/2024,"$424,990 ",1/31/2025,"$424,990 ",2024,240,1,,"CASH, CONV, FHA"
24211709,ATTACHD,RES,NEW,0,8427 SE Kinnaman ST #1145,Hillsboro,97124,152,3,2.1,2,1332,319,319,"0-2,999SF",1/13/2025,52,52,11/22/2024,"$424,990 ",2/10/2025,"$424,990 ",2024,240,1,,"CASH, CONV, FHA, VA"
24330503,ATTACHD,RES,NEW,0,8063 SE Kinnaman ST,Hillsboro,97123,152,2,2.1,2,1376,308,308,"0-2,999SF",4/15/2024,58,58,2/17/2024,"$424,990 ",5/15/2024,"$424,990 ",2023,240,1,,"CONV, FHA"
23042065,DETACHD,RES,RESALE,1616.24,55275 SW CHERRY GROVE DR,Gaston,97119,152,3,1,1,1054,403,403,20K-.99AC,7/1/2023,0,0,7/1/2023,"$425,000 ",7/5/2023,"$425,000 ",1955,,1,,"CASH, CONV, FHA, USDA, VA"
23177007,DETACHD,RES,REMOD,2902.01,2765 SE 73RD AVE,Hillsboro,97123,152,3,1,1,1032,435,411,"10K-14,999SF",1/13/2024,4,4,1/9/2024,"$449,950 ",2/9/2024,"$425,000 ",1962,,1,,"CASH, CONV, FHA, SGI, VA"
23211614,CONDO,RES,RESALE,3590.67,7186 NE CHERRY DR,Hillsboro,97124,152,3,2,2,1536,283,276,,9/17/2023,12,12,9/5/2023,"$435,000 ",10/19/2023,"$425,000 ",2004,324,2,1,"CASH, CONV"
23370601,ATTACHD,RES,APPROX,3547.1,7619 NE Andover ST,Hillsboro,97124,152,3,2.1,3,1713,248,248,"0-2,999SF",1/27/2024,29,29,12/29/2023,"$425,000 ",2/29/2024,"$425,000 ",2001,261,2,,"CASH, CONV, FHA"
23419716,DETACHD,RES,FIXER,3112.59,1942 SE PINE ST,Hillsboro,97123,152,2,1,2,1800,232,236,"10K-14,999SF",7/18/2023,18,18,6/30/2023,"$419,000 ",8/10/2023,"$425,000 ",1920,,0,1,"CASH, CONV, OTHER"
24205480,DETACHD,RES,RESALE,4110.31,1831 SE WATER LILY ST,Hillsboro,97123,152,3,2.1,2,1933,232,219,"0-2,999SF",4/7/2024,39,39,2/28/2024,"$449,900 ",5/6/2024,"$425,000 ",2005,105,2,1,"CASH, CONV, FHA, VA"
